Alignment,Character,Combat,Creator,Durability,Gender,Height,IQ,Intelligence,Level,Place_of_birth,Power,Species,Speed,Speed_velocity,Strength,Strength_force,Super_powers,Tier,Universe,Weight,combat_str,durability_str,height_str,intelligence_str,level_str,power_str,speed_str,speed_velocity_str,strength_str,strength_force_str,tier_str,weight_str,name,img_links
Bad,baronzemo,80,Marvel Comics,15,Male,"175 cm • 5'8.9""",170,85,1,"Castle Zemo, Zeulniz, German Empire",15,Human,15,27,8,300,"disguisemastery,intelligence,marksmanship,mastermartialartist,mastertactician,preparation,stamina,swordsmanship,vehicularmastery,weaponsmaster,agility,bloodlust,dexterity,endurance,longevity,energyblasts,explosionmanipulation,vibrationmanipulation,vision-microscopic,vision-night,vision-telescopic,vision-x-ray",1,Earth-616,81 kg • 178.57 lbs,combat76to80,durability15,height0-5,intelligence81to85,level1,power11to15,speed11to15,sv1-1000,strength6to10,sf1-1000,tier1,weight1-1000,Baron Zemo,https://static.wikia.nocookie.net/villains/images/2/23/Baron_Zemo_Avengers_Assemble.png/revision/latest/scale-to-width-down/350?cb=20180610015353
Bad,acekiller,85,None,60,Other,"40 m • 131'2.8""",100,50,3,Planet Golgotha,85,Robot,30,1715,80,200000000,"coldresistance,electricityresistance,endurance,energyabsorption,energybeams,energyblasts,energyresistance,explosionmanipulation,fireresistance,heatresistance,inorganicphysiology,invulnerability,largesize,lasermanipulation,powermimicry,radiationimmunity,self-sustenance,statisticsamplification,toxinanddiseaseresistance,weapon-basedpowers,weaponsmaster,abilityshift,agility,cyborgization,damageboost,elasticity,electrokinesis,energyconstructs,energymanipulation,enhancedmemory,enhancedsight,fearinducement,firecontrol,gadgetusage,heatgeneration,homingattack,illusionresistance,indomitablewill,informationanalysis,jump,longevity,magmamanipulation,powerabsorption,powersense,reflexes,seismicpower,shockwavesgeneration,swordsmanship,transformation,vaporisingbeams,adaptation,animalattributes,animalorientedpowers,attacknegation,attackreflection,changingarmor,dimensionaltravel,illumination,lightcontrol,marksmanship,mastermartialartist,mastertactician,molecularcombustion,weaponcreation",4,USU,"43,000 ton • 94,798,772.66 lbs",combat81to85,durability60,height11-100,intelligence46to50,level3,power81to85,speed26to30,sv1001-5000,strength76to80,sf100000001-1000000000,tier4,weight10000001-100000000,Ace Killer,https://static.wikia.nocookie.net/villains/images/6/6d/Ace_Killer.png/revision/latest?cb=20170404232243
Bad,albedo,85,Cartoon Network,100,Male,-,190,95,5,Galvan Prime,85,Alien,100,1000000000,100,1000000000,"accelerateddevelopment,acceleratedhealing,blackholemanipulation,camouflage,coldresistance,dexterity,duplication,durability,energyabsorption,energybeams,energyblasts,firecontrol,fireresistance,flight,gravitycontrol,heatgeneration,heatresistance,intelligence,interstellartravel,invisibility,invulnerability,jump,mastermartialartist,omnitrix,peakhumancondition,stamina,superspeed,superstrength,abilityshift,acrobatics,adaptation,agility,animalattributes,animalorientedpowers,anti-gravity,audiocontrol,berserkmode,cryokinesis,dreammanipulation,echolocation,elasticity,electricaltransport,electrokinesis,elementcontrol,endurance,energymanipulation,energyresistance,enhancedhearing,enhancedsight,enhancedsmell,forcefields,gliding,indestructibledigestion,instinctivereaction,intangibility,levitation,lightcontrol,longevity,magnetism,marksmanship,mastertactician,metalmanipulation,mindcontrol,naturalarmor,naturalweapons,omnilingualism,phasing,plantcontrol,possession,powerabsorption,powermimicry,precognition,pressurepoints,radiationabsorption,radiationcontrol,radiationimmunity,reflexes,regeneration,seismicpower,self-destruction,self-sustenance,separation,shapeshifting,sizechanging,sleepmanipulation,sonar,sonicscream,stealth,sub-mariner,telekinesis,timemanipulation,timetravel,transformation,underwaterbreathing,vision-heat,vision-night,wallcrawling,watercontrol,weaponcreation,weapon-basedpowers,weaponsmaster,weathercontrol,webcreation,windcontrol",6,Ben 10,-,combat81to85,durability100,heighthuge,intelligence91to95,level5,power81to85,speed96to100,sv100000001-1000000000,strength96to100,sf100000001-1000000000,tier6,weightunknown,Albedo,https://static.wikia.nocookie.net/villains/images/5/5c/OV_Albedo_11_Year_Old_Model.png/revision/latest/scale-to-width-down/348?cb=20200728195010
Good,bob,10,Dreamworks,50,Unknown,-,10,5,2,Unknown,70,Mutant,25,50,25,5000,"durability,elasticity,stamina,superstrength,attacknegation,attackreflection,energyresistance,invulnerability,jump,reflexes,self-sustenance,shapeshifting,sizechanging,surfacescaling,underwaterbreathing,wallcrawling,immortality",2,MVsA,-,combat6to10,durability50,heighthuge,intelligence1to5,level2,power66to70,speed21to25,sv1-1000,strength21to25,sf1001-5000,tier2,weightunknown,B.O.B.,https://static.wikia.nocookie.net/villains/images/4/4f/Harley_Quinn_in_Scribblenauts_Unmasked.JPG/revision/latest?cb=20130524204810
Neutral,ace,20,DC Comics,5,Female,-,110,55,2,Unknown,60,Metahuman,25,50,25,10000,"illusions,mindcontrol,telekinesis,telepathy,mindcontrolresistance,powerbestowal,psionicpowers,realitywarping",2,DCAU,-,combat16to20,durability5,heighthuge,intelligence51to55,level2,power56to60,speed21to25,sv1-1000,strength21to25,sf5001-10000,tier2,weightunknown,Ace,https://static.wikia.nocookie.net/villains/images/1/15/Darkseid-stare.png/revision/latest?cb=20100823083512
Neutral,abyss,30,Marvel Comics,55,Female,"165.1 cm • 5'5""",135,70,2,Unknown,60,Alien,5,9,1,120,none,3,Earth-616,54.43 kg • 120 lbs,combat26to30,durability55,height0-5,intelligence66to70,level2,power56to60,speed1to5,sv1-1000,strength1to5,sf1-1000,tier3,weight1-1000,Abyss (Ex Nihilo),https://static.wikia.nocookie.net/villains/images/2/2b/AbyssMVC2.webp/revision/latest?cb=20220829162300
Bad,abyss,95,DC Comics,20,Male,-,160,80,2,Unknown,25,None,25,200,13,500,"acrobatics,agility,bloodlust,camouflage,dexterity,endurance,gadgetusage,indomitablewill,intelligence,marksmanship,mastermartialartist,mastertactician,preparation,pressurepoints,stamina,stealth,umbrakinesis,weapon-basedpowers,weaponsmaster,coldresistance,disguiseresistance,enhancedhearing,enhancedmemory,enhancedsight,fearinducement,gliding,grappling/climbing,hacking,heatresistance,jump,longevity,painmanipulation,painsuppression,reflexes,toxinanddiseaseresistance,vehicularmastery,vision-microscopic,vision-night,vision-telescopic,vision-thermal,vision-x-ray,acceleratedhealing,acidmanipulation,acidresistants,fearmanipulation,fireresistance,illusionresistance,mindcontrolresistance,regeneration",1,Prime Earth,-,combat91to95,durability20,heighthuge,intelligence76to80,level2,power21to25,speed21to25,sv1-1000,strength11to15,sf1-1000,tier1,weightunknown,Abyss,https://static.wikia.nocookie.net/villains/images/2/2b/AbyssMVC2.webp/revision/latest?cb=20220829162300
Bad,baronmordo,75,Marvel Comics,30,Male,-,140,70,2,Unknown,70,Human,25,100,30,80000,"durability,endurance,energyconstructs,intelligence,peakhumancondition,portalcreation,stamina,stealth,superspeed,superstrength,teleportation,acrobatics,agility,astralprojection,dexterity,dimensionaltravel,energyabsorption,energymanipulation,fireresistance,forcefields,illumination,interstellartravel,jump,levitation,marksmanship,mastermartialartist,powerabsorption,reflexes,weapon-basedpowers,weaponsmaster,flight,heatresistance,invulnerability,mastertactician,soulmanipulation,soulresistance",3,MCU,-,combat71to75,durability30,heighthuge,intelligence66to70,level2,power66to70,speed21to25,sv1-1000,strength26to30,sf10001-100000,tier3,weightunknown,Baron Mordo,https://static.wikia.nocookie.net/villains/images/4/42/Karl-Mordo-MOM-CP.png/revision/latest/scale-to-width-down/333?cb=20220418032546
Neutral,barondraxum,100,Nickelodeon,55,Male,-,170,85,3,Unknown,65,Mutant,50,20000,65,2500000,"accelerateddevelopment,acceleratedhealing,acrobatics,dexterity,durability,endurance,fireresistance,heatresistance,intelligence,jump,magic,mastermartialartist,mastertactician,peakhumancondition,reflexes,stamina,stealth,superspeed,superstrength,berserkmode,darkarts,energyresistance,enhancedhearing,enhancedsight,enhancedsmell,invulnerability,marksmanship,naturalarmor,naturalweapons,plantcontrol,portalcreation,radiationimmunity,teleportation,toxinanddiseaseresistance,weaponcreation",4,Rise Of The TMNT,-,combat96to100,durability55,heighthuge,intelligence81to85,level3,power61to65,speed46to50,sv10001-100000,strength61to65,sf1000001-10000000,tier4,weightunknown,Baron Draxum,https://static.wikia.nocookie.net/villains/images/5/53/BaronDraxum.png/revision/latest?cb=20190213095553
Good,atomeve,30,Skybound,50,Female,-,145,75,3,Unknown,85,None,25,1000,1,125,"durability,elementcontrol,energybeams,energyblasts,energyconstructs,energymanipulation,flight,forcefields,immortality,intelligence,mattermanipulation,mindcontrol,molecularmanipulation,peakhumancondition,regeneration,resurrection,stamina,subatomicmanipulation,superspeed,superstrength,telekinesis,telepathy,acceleratedhealing,agility,dangersense,dexterity,endurance,energyabsorption,energyresistance,enhancedcondition,indomitablewill,jump,levitation,lightcontrol,longevity,matterabsorption,reflexes,stealth,vision-night",4,Invincible,-,combat26to30,durability50,heighthuge,intelligence71to75,level3,power81to85,speed21to25,sv1-1000,strength1to5,sf1-1000,tier4,weightunknown,Atom Eve,https://static.wikia.nocookie.net/superheroes/images/c/cf/Atom_Eve.jpg/revision/latest/scale-to-width-down/250?cb=20140727161239
Good,batman,100,DC Comics,100,Male,"188 cm • 6'2""",190,95,5,Gotham County,100,Human,100,1000000000,100,1000000000,"acceleratedhealing,afterimagecreation,agility,aura,clairvoyance,clairvoyanceresistance,coldresistance,corruptionresistance,cryokinesis,dexterity,disguisemastery,durability,emotionalpowerup,endurance,energyabsorption,energybeams,energyresistance,enhancedhearing,enhancedmemory,enhancedsight,enhancedsmell,enhancedtouch,extrasensoryperception,fireresistance,flight,heatgeneration,heatresistance,hopeinducement,indomitablewill,informationanalysis,intelligence,interstellartravel,invulnerability,jump,levitation,longevity,marksmanship,mastermartialartist,mastertactician,mindcontrolresistance,naturalarmor,psionicpowers,radiationabsorption,radiationcontrol,radiationimmunity,reflexes,regeneration,self-sustenance,shockwavesgeneration,spaceflight,stamina,statisticsamplification,stealth,superbreath,superspeed,superstrength,telepathyresistance,toxinanddiseaseresistance,underwaterbreathing,vehicularmastery,vision-heat,vision-microscopic,vision-night,vision-telescopic,vision-x-ray,weaponsmaster,anti-gravity,apathy,bullettime,curseresistance,damageboost,electricityresistance,empgeneration,existenceerasureresistance,immortality,intangibility,non-physicalinteraction,possessionresistance,projection,reactivepowerlevel,realitywarpingresistance,soulresistance,timetravel,windcontrol",6,Prime Earth,95 kg • 209.44 lbs,combat96to100,durability100,height0-5,intelligence91to95,level5,power96to100,speed96to100,sv100000001-1000000000,strength96to100,sf100000001-1000000000,tier6,weight1-1000,Batman (Superman's Powers),https://static.wikia.nocookie.net/superheroes/images/0/09/Batman.jpg/revision/latest/scale-to-width-down/250?cb=20230418165713
Bad,batman,70,DC Comics,30,Male,-,165,85,2,America,55,Human,17,30,1,150,"agility,flight,intelligence,interstellartravel,levitation,mastertactician,peakhumancondition,stamina,superspeed,superstrength,teleportation,acrobatics,energyblasts,indomitablewill,mastermartialartist,reflexes,self-sustenance,spaceflight,technopath/cyberpath,weaponsmaster,endurance",2,DCUAOM,-,combat66to70,durability30,heighthuge,intelligence81to85,level2,power51to55,speed16to20,sv1-1000,strength1to5,sf1-1000,tier2,weightunknown,Batman (Mobius Chair),https://static.wikia.nocookie.net/superheroes/images/0/09/Batman.jpg/revision/latest/scale-to-width-down/250?cb=20230418165713
Good,batman,100,DC Comics,30,Male,-,180,90,2,Unknown,20,Human,25,244,30,88779,"acrobatics,agility,cloaking,dexterity,durability,electricityresistance,gliding,grappling/climbing,heatresistance,huntersinstinct,indomitablewill,informationanalysis,intelligence,invisibility,marksmanship,mastermartialartist,mastertactician,peakhumancondition,powersuit,preparation,pressurepoints,roboticengineering,stamina,stealth,superspeed,superstrength,swordsmanship,weapon-basedpowers,weaponsmaster,adaptation,coldresistance,empgeneration,endurance,enhancedcondition,fireresistance,invulnerability,jump,lightcontrol,reactiveevolution,reflexes,surfacescaling,vision-night,animalattributes,enhancedhearing,enhancedmemory,enhancedsight,enhancedsmell,fearinducement",2,Prime Earth,-,combat96to100,durability30,heighthuge,intelligence86to90,level2,power16to20,speed21to25,sv1-1000,strength26to30,sf10001-100000,tier2,weightunknown,Batman (Stealth Suit),https://static.wikia.nocookie.net/superheroes/images/0/09/Batman.jpg/revision/latest/scale-to-width-down/250?cb=20230418165713
Good,batman,100,DC Comics,100,Male,"188 cm • 6'2""",180,90,6,"Crest Hill, Bristol Township; Gotham County",100,Human,100,1000000000,100,1000000000,"acceleratedhealing,adaptation,agility,anti-gravity,antimattermanipulation,banish,bullettime,causalityresistance,clairvoyanceresistance,coldresistance,corruptionresistance,creation,curseresistance,cyborgization,damageboost,damagereduction,damagetransferal,dimensionaltravel,durability,electricaltransport,electricityabsorption,electricityresistance,electro-magnetismmanipulation,electrokinesis,elementcontrol,endurance,energyabsorption,energyarmor,energybeams,energyblasts,energyconstructs,energyembodiment,energymanipulation,energyresistance,enhancedhearing,enhancedmemory,enhancedsight,existenceerasureresistance,fateresistance,firecontrol,fireresistance,flight,forcefields,fusion,gravitycontrol,hacking,heatgeneration,heatresistance,hellfireresistance,holyresistance,illusionresistance,immortality,indomitablewill,intelligence,interstellartravel,invulnerability,largesize,levitation,lifemanipulation,lightcontrol,magicresistance,magnetism,marksmanship,mastermartialartist,mastertactician,matterabsorption,mattermanipulation,mindcontrolresistance,molecularcombustion,moleculardissipation,molecularimmobilization,molecularmanipulation,molecularoscillation,nanotechnology,plotmanipulationresistance,portalcreation,possessionresistance,powerabsorption,powerabsorptionimmunity,powermimicry,powernullifier,powersense,powersuit,precognition,projection,radiationabsorption,radiationcontrol,radiationimmunity,reactiveevolution,reactivepowerlevel,realitywarpingresistance,regeneration,shockwavesgeneration,soulresistance,spaceflight,spatialmanipulation,statisticsamplification,superspeed,superstrength,technologicalpossession,technopath/cyberpath,telepathy,telepathyresistance,teleportation,timemanipulation,timemanipulationresistance,timetravel,toxinanddiseaseresistance,unholyresistance,vehicularmastery,vision-cryo,vision-infrared,vision-microscopic,vision-night,vision-telescopic,vision-thermal,vision-x-ray,weaponsmaster,astraltravel,attacknegation,attackreflection,biokinesis,deconstruction,densitycontrol,dexterity,elementaltransmogrification,homingattack,illusions,indestructibledigestion,invisibility,jump,metalmanipulation,mindcontrol,reflexes,self-sustenance,sleepmanipulation,smokemanipulation,spatialawareness,spatialcommunication,windcontrol",8,Prime Earth,95.3 kg • 210.1 lbs,combat96to100,durability100,height0-5,intelligence86to90,level6,power96to100,speed96to100,sv100000001-1000000000,strength96to100,sf100000001-1000000000,tier8,weight1-1000,Batman (Final Batsuit),https://static.wikia.nocookie.net/superheroes/images/0/09/Batman.jpg/revision/latest/scale-to-width-down/250?cb=20230418165713
Good,batman,85,DC Comics,15,Male,"188 cm • 6'2""",150,75,1,Gotham City,20,Human,8,15,6,250,"intelligence,peakhumancondition,stamina,acrobatics,agility,bloodlust,dexterity,endurance,gadgetusage,gliding,hacking,indomitablewill,intuitiveaptitude,marksmanship,mastermartialartist,mastertactician,photographicdeduction,pressurepoints,reflexes,stealth,vehicularmastery,weapon-basedpowers,weaponsmaster,berserkmode,electrokinesis,explosionmanipulation,powersuit,swordsmanship",1,DCEU,-,combat81to85,durability15,height0-5,intelligence71to75,level1,power16to20,speed6to10,sv1-1000,strength6to10,sf1-1000,tier1,weightunknown,Batman (2022),https://static.wikia.nocookie.net/superheroes/images/0/09/Batman.jpg/revision/latest/scale-to-width-down/250?cb=20230418165713
Good,batman,65,DC Comics,13,Male,"188 cm • 6'2""",170,85,1,Gotham City,20,Human,25,171,13,500,"durability,intelligence,marksmanship,mastermartialartist,peakhumancondition,stamina,superspeed,superstrength,weaponsmaster,acrobatics,endurance,fireresistance,grappling/climbing,heatresistance,indomitablewill,mastertactician,stealth,vision-night,vision-thermal,agility,coldresistance,dexterity,electricityresistance,energyresistance,explosionmanipulation,illumination,invulnerability,reflexes,statuseffectinducement,weapon-basedpowers",1,DCEU,79.8 kg • 175.93 lbs,combat61to65,durability13,height0-5,intelligence81to85,level1,power16to20,speed21to25,sv1-1000,strength11to15,sf1-1000,tier1,weight1-1000,Batman (Battle-Suit),https://static.wikia.nocookie.net/superheroes/images/0/09/Batman.jpg/revision/latest/scale-to-width-down/250?cb=20230418165713
Good,batman,100,DC Comics,15,Male,"188 cm • 6'2""",180,90,2,Gotham City,20,Human,11,20,8,300,"acrobatics,agility,dexterity,durability,endurance,hacking,indomitablewill,informationanalysis,intelligence,intuitiveaptitude,marksmanship,mastermartialartist,mastertactician,mechanicalaptitude,peakhumancondition,reflexes,stealth,vehicularmastery,weapon-basedpowers,weaponsmaster,animalcontrol,audiocontrol,electrokinesis,elementcontrol,fearmanipulation,gliding,instinctivereaction,mindcontrolresistance,powernullifier,powersuit,smokemanipulation,summoning,telepathyresistance,flight",1,IGAU,95.25 kg • 209.99 lbs,combat96to100,durability15,height0-5,intelligence86to90,level2,power16to20,speed11to15,sv1-1000,strength6to10,sf1-1000,tier1,weight1-1000,Batman,https://static.wikia.nocookie.net/superheroes/images/0/09/Batman.jpg/revision/latest/scale-to-width-down/250?cb=20230418165713
Bad,absorbingman,55,Marvel Comics,100,Male,"193 cm • 6'4""",100,50,3,"New York City, New York",70,Human,11,20,100,1000000000,"durability,energyabsorption,invulnerability,matterabsorption,molecularmanipulation,naturalarmor,powerabsorption,radiationabsorption,radiationimmunity,superstrength,immortality,regeneration,intangibility,sizechanging,stealth",3,Earth-616,122.5 kg • 270.07 lbs,combat51to55,durability100,height0-5,intelligence46to50,level3,power66to70,speed11to15,sv1-1000,strength96to100,sf100000001-1000000000,tier3,weight1-1000,Absorbing Man,https://static.wikia.nocookie.net/villains/images/7/7f/Absorbing_man.jpg/revision/latest/scale-to-width-down/350?cb=20170527052319
