title,species,home_world,body,abilities,first_appearance,img_links,character_type
Brainstorm,Cerebrocrustacean,Encephalonus IV,Crustacean-like,"Enhanced Intelligence,Advanced Analysis,Advanced Calculations,Telepathic Voice,Bio-Electrokinesis,Electrical Telekinesis,Electrical Shield,Force Field Generation,Sharp Pincers,Levitation,Enhanced Strength,Enhanced Durability,Enhanced Acrobatics,Enhanced Reflexes,Enhanced Dexterity,Underwater Breathing,Cold Resistance,Wall Scaling,Web Scaling,Movable Cranium Plates,Pulse Emission,Technokinesis,Disembodied Voice",Pier Pressure,https://static.wikia.nocookie.net/ben10/images/b/b0/56724.png/revision/latest?cb=20200531230656,Hero
Build-A-Guy,Segmentasapien,"Polyominus,(,Dimension 23,)",Gorilla Made of Building Blocks,"Shapeshifting,Touvlokinesis,Explosive Projectiles,(via Bloxx-Lobbers),Elasticity,Regeneration,Size Alteration,Body Alteration,Body Separation,Body Encasing,Sphere Transformation,Heat Resistance,Radiation Immunity,Enhanced Strength,Enhanced Agility,Enhanced Durability,Enhanced Dexterity,Enhanced Jumping,Enhanced Reflexes,Enhanced Speed,(via Sphere Transformation),Space Survivability,Suction Immunity",And Then There Were None,https://static.wikia.nocookie.net/ben10/images/3/3e/Build-a-guy.png/revision/latest?cb=20210215074218,Hero
Bullfrag,Incursean,"Unknown,(destroyed)",Humanoid Frog,"Long Prehensile Tongue,Skilled Melee Combatant,Enhanced Strength,Enhanced Durability,Enhanced Agility,Enhanced Smelling,Enhanced Reflexes,Enhanced Jumping,Chest Inflation,Limited Space Survivability",The Frogs of War: Part 2,https://static.wikia.nocookie.net/ben10/images/2/26/Bullfrag_OV_4.png/revision/latest?cb=20141129043410,Hero
Buzzshock (Classic),Nosedeenian,Nosideen Quasar,Humanoid Battery,"Bio-Electrokinesis,Energy Absorption,Energy Empowerment,Electroporation,Electrokinetic Flight,Levitation,Self-Duplication,Enhanced Strength,Enhanced Speed,(via Electrokinetic Flight),Enhanced Reflexes,Electricity Immunity,Electrical Possession,Technological Manipulation,Technological Destruction,Sonic Screams","Ben 10,000",https://static.wikia.nocookie.net/ben10/images/1/17/Buzzshock_official.png/revision/latest?cb=20141129095705,Hero
Cannonbolt (Classic),Arburian Pelarota,"Arburia,(destroyed)",Pillbug,"Sphere Transformation,Nigh-Invulnerable Shell,Energy Deflection,(via Nigh-Invulnerable Shell),Electricity Conductivity,(via Nigh-Invulnerable Shell),Sharp Claws,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Speed,(via Sphere Transformation),Enhanced Reflexes,Enhanced Digging,Limited Space Survivability,Acid Immunity,Lava Immunity,Radiation Resistance,Heat Resistance,Cold Resistance,Wall Scaling",The Big Tick,https://static.wikia.nocookie.net/ben10/images/f/f0/Cannonbolt_true_colors.png/revision/latest?cb=20210929072602,Hero
Chamalien,Merlinisapien,Unknown,Humanoid Salamander,"Camouflage,Sharp Teeth,Sharp Claws,Retractable Tail Stinger,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Acrobatics,Enhanced Speed,Wall Scaling,Slippery Body,Quadrupedalism",Prisoner Number 775 is Missing,https://static.wikia.nocookie.net/ben10/images/d/d3/UltimateAlienChamAlien.png/revision/latest?cb=20190820072643,Hero
Charcoal-Man,Pyronite,"Pyros,(,Dimension 23,)",Fiery Humanoid,"Pyrokinesis,Fire Absorption,Fire Constructs,Fire Transportation,Fire/Heat Amplification,Pyrokinetic Touch,Flame-Enhanced Punches,Fire Cutting,Pyrokinetic Flight,Pyrokinetic Surfing,Terrakinesis,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Acrobatics,Enhanced Speed,(via Pyrokinetic Flight),Enhanced Reflexes,Underwater Survivability,Underwater Fire/Heat Generation,Fire/Heat Immunity,Ectonurite,Possession Immunity,Limited,Corruptura,Immunity,Ice/Cold Resistance,Light Generation,Smoke Generation,Fire Breath,Fire Spit,Cryokinesis,(via Cold Virus)",No info,https://static.wikia.nocookie.net/ben10/images/3/3c/NoImageAvailable.png/revision/latest?cb=20220716172111,Hero
Chromastone (Classic),Crystalsapien,Petropia,Crystalline Humanoid,"Dynakinesis,Energy Beams,Energy Absorption,Mana,Absorption,Energy Conversion,Energy Redirection,Electricity Conductivity,Flight,Levitation,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Speed,(via Flight),Space Survivability,Radiation Immunity,Electricity Immunity,Xenocite,Possession Immunity,Heat Resistance,Prismatic Explosions,Light Generation,Heat Generation,Rainbow Generation",All That Glitters,https://static.wikia.nocookie.net/ben10/images/f/fb/OV_ChromastoneNoSkurd.png/revision/latest?cb=20200912071313,Hero
Clockwork,Chronosapien,Unknown,Robotic,"Chronokinesis,Chrono-Dynakinesis,Chronoportation,Chronopathy,Time Rays,Time Waves,Time Acceleration,Time Reduction,Time Freezing,Age Acceleration,Age Reversal,Time Portal Creation,Temporal Duplication,Temporal Consciousness Inversion,Retrocognitive Projections,Individual Time Reversal,Individual Time Freezing,Individual Timeline Relocation,Space Survivability,Enhanced Strength,Enhanced Durability,Enhanced Reflexes,360° Rotating Head,360° Rotating Head Key,Galvanic Mechamorph,Enhancements:,Chronosapien Detection,Strength Enhancement,Durability Enhancement,Reflexes Enhancement,Enhanced Stamina,Enhanced Speed,Enhanced Agility,Enhanced Jumping,Enhanced Digging,Missile Launchers,Drill Manifestation,Speed Rotation",Inspector #13,https://static.wikia.nocookie.net/ben10/images/0/0f/20229.png/revision/latest?cb=20210515172447,Hero
Copy Copy,Sonorosian,"Sonorosia,(,Dimension 23,)",Humanoid,"Audiokinesis,Sonic Screams,Sonic Redirection,Self-Duplication,Echo Chamber,Wall of Sound,Sonic Combustion,Sonic Force Fields,Levitation,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Acrobatics,Enhanced Speed,Enhanced Reflexes,Echolocation,Vibration Empowerment,Cellphone Sound Wave Transmission,Object Duplication,Sonic Sneezes,(via Cold Virus)",No info,https://static.wikia.nocookie.net/ben10/images/3/3c/NoImageAvailable.png/revision/latest?cb=20220716172111,Hero
Crashhopper,Orthopterran,Unknown,Humanoid Grasshopper,"Enhanced Jumping,Enhanced Agility,Enhanced Acrobatics,Enhanced Reflexes,Enhanced Ricocheting,Enhanced Strength,Enhanced Durability,Enhanced Speed,Hard/Sharp Head,Strong Knees,Shock Waves,Quadrupedalism,Wall Climbing","So Long, and Thanks for All the Smoothies",https://static.wikia.nocookie.net/ben10/images/4/43/OV_Crashhopper.png/revision/latest?cb=20200613085908,Hero
Crashocker,"½,Orthopterran,½,Gimlinopithecus",No info,Humanoid Grasshopper,"Enhanced Strength,Enhanced Jumping,Electrokinesis,Hard Head",Let's Do the Time War Again,https://static.wikia.nocookie.net/ben10/images/5/56/Crashocker.png/revision/latest?cb=20141129044848,Hero
Dawg-Nabbit,Vulpimancer,"Vulpin,(,Dimension 23,)",Animalistic,"Sightless Sensing,Enhanced Smelling,Enhanced Hearing,Sharp Teeth,Sharp Claws,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Acrobatics,Enhanced Speed,Enhanced Agility,Enhanced Reflexes,Enhanced Digging,Ice/Cold Immunity,Hazardous Waste Immunity,Nightmarish Face Immunity,Wall Scaling,Prehensile Feet,Bipedalism,Quill Projection,(Adulthood)",No info,https://static.wikia.nocookie.net/ben10/images/5/54/Dawg-Nabbit.png/revision/latest?cb=20200609065510,Hero
Diamond Matter,"½,Petrosapien,½,Galvan",No info,Crystalline Humanoid,"Enhanced Intelligence,Body Alteration,Weapon Manifestation,(via Body Alteration),Enhanced Durability",Dr. Animo and the Mutant Ray,https://static.wikia.nocookie.net/ben10/images/2/24/Diamond_Matter_001.png/revision/latest?cb=20210205050653,Hero
Diamondhead (Classic),"Petrosapien,Petrosapien/,Crystalsapien,Hybrid,(,Alien Force,and,Ultimate Alien,),",Petropia,Crystalline Humanoid,"Crystallokinesis,Crystal Entrapment,Body Alteration,Weapon Manifestation,(via Body Alteration),Regeneration,Arm Extension,Arm Enlargement,Crystalline Constructs,Crystal Shard Projectiles,Crystal Shard Growth,Explosive Crystal Shards,Crystal Surfing,Energy Refraction,Energy Absorption,Energy Redirection,(via Energy Absorption),Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Acrobatics,Enhanced Speed,(via Crystal Surfing),Enhanced Reflexes,Enhanced Digging,Space Survivability,Underwater Survivability,Time Ray Immunity,Acid Immunity,Xenocite,Possession Immunity,Fire/Heat Resistance,Crystal Spit,(via Cold Virus),Crystal Mana Constructs,(,Gwen Prime,only)",And Then There Were 10,https://static.wikia.nocookie.net/ben10/images/2/2c/Diamondhead_oficial.png/revision/latest?cb=20230814094606,Hero
Ditto,Splixson,Hathor,Humanoid,"Self-Duplication,Sensory Web,Conjoined Cloning,Ladder Cloning,Clone Dissipation,Enhanced Jumping,Enhanced Acrobatics,Enhanced Speed,Enhanced Reflexes,Enhanced Digging,Underwater Breathing",Divided We Stand,https://static.wikia.nocookie.net/ben10/images/a/a3/Ditto_16_year_old.png/revision/latest?cb=20230918131411,Hero
Dyno Mighty,Vaxasaurian,"Terradino,(,Dimension 23,)",Humanoid Dinosaur,"Enhanced Strength,Shock Wave Generation,Sonic Clap,Strong Tail,Size Alteration,Stegosauride Features,Enhanced Durability,Enhanced Jumping,Enhanced Speed,Enhanced Reflexes,Limited Space Survivability,Fire/Heat Resistance,Strong Wind Resistance,Suction Resistance,Quadrupedalism,Strong Teeth,Loud Roar,Slime Spit,(via Cold Virus)","It's a Mad, Mad, Mad Ben World: Part 2",https://static.wikia.nocookie.net/ben10/images/0/09/Dino-Mighty.png/revision/latest?cb=20210215074219,Hero
Eatle,Oryctini,Coleop Terra,"Metallic Humanoid,(,Ultimate Alien,),Humanoid Beetle,(,Omniverse,)","Solid Matter Ingestion,Energy Beams,Sharp Teeth,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Speed,Enhanced Reflexes,Electricity Resistance,Wall Scaling,Strong Horn",A Knight to Remember,https://static.wikia.nocookie.net/ben10/images/9/95/Eatle_omniverse_official.png/revision/latest?cb=20220727052438,Hero
Echo Echo,Sonorosian,Sonorosia,Humanoid,"Audiokinesis,Sonic Screams,Sonic Redirection,Self-Duplication,Echo Chamber,Wall of Sound,Sonic Combustion,Sonic Force Fields,Levitation,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Acrobatics,Enhanced Speed,Enhanced Reflexes,Echolocation,Vibration Empowerment,Cellphone Sound Wave Transmission,Ultimatrix User Duplication,Object Duplication,Sonic Sneezes,(via Cold Virus)",Ben 10 Returns: Part 2,https://static.wikia.nocookie.net/ben10/images/7/77/FullEchoEchoArt1.png/revision/latest?cb=20210515172155,Hero
Electricyeti,Gimlinopithecus,"Pattersonea,(,Dimension 23,)",Sasquatch,"Bio-Electrokinesis,Electricity Waves,Electricity Infusion,Electrical Telekinesis,Force Field Generation,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Speed,Enhanced Reflexes,Cold Immunity,Limited Radiation Immunity,Electricity Breath,Quadrupedalism",Store 23,https://static.wikia.nocookie.net/ben10/images/6/6f/Electric_Yeti.PNG/revision/latest?cb=20141009134603,Hero
Eye Guy,Opticoid,Sightra,Humanoid,"Ophthalmokinesis,360° Vision,Movable Eyes,Eye Merging,Extendable Chest Eye,Energy Beams,Electricity Beams,Cryo-Electricity Beams,Freeze Rays,Fire Blasts,Eye Goo,Enhanced Durability,Enhanced Jumping,Enhanced Acrobatics,Enhanced Reflexes,Chemical Detection",Ben 10: Secret of the Omnitrix,https://static.wikia.nocookie.net/ben10/images/a/ad/OmniverseEyeGuy.png/revision/latest?cb=20230814031513,Hero
Eye Guy (Dimension 23),Opticoid,"Sightra,(,Dimension 23,)",Humanoid,"Ophthalmokinesis,360° Vision,Movable Eyes,Eye Merging,Extendable Chest Eye,Energy Beams,Electricity Beams,Cryo-Electricity Beams,Freeze Rays,Fire Blasts,Eye Goo,Enhanced Durability,Enhanced Jumping,Enhanced Acrobatics,Enhanced Reflexes,Chemical Detection",And Then There Was Ben,https://static.wikia.nocookie.net/ben10/images/3/30/Ben_23_Eye_Guy.png/revision/latest?cb=20200609091113,Hero
Fastcat,Citrakayah,"Chalybeas,(,Dimension 23,)",Humanoid Feline,"Enhanced Speed,Enhanced Agility,Enhanced Reflexes,Enhanced Strength,Enhanced Durability,Enhanced Jumping",No info,https://static.wikia.nocookie.net/ben10/images/3/3c/NoImageAvailable.png/revision/latest?cb=20220716172111,Hero
Fasttrack,Citrakayah,Chalybeas,Humanoid Feline,"Enhanced Speed,Enhanced Agility,Enhanced Reflexes,Enhanced Strength,Enhanced Durability,Enhanced Jumping",Basic Training,https://static.wikia.nocookie.net/ben10/images/f/f4/FasttrackUAOfficial.png/revision/latest?cb=20180827014032,Hero
Feedback,Conductoid,Teslavorr Nebula,Humanoid,"Electrokinesis,Energy Absorption,Energy Redirection,Enhanced Strength,Enhanced Durability,Enhanced Dexterity,Enhanced Agility,Enhanced Jumping,Enhanced Reflexes,Enhanced Speed,(on electrical lines),Radiolocation,Electrokinetic Levitation,Electrokinetic Flight,Space Survivability,Elastic Antennae Tentacles",The More Things Change: Part 1,https://static.wikia.nocookie.net/ben10/images/f/f3/Teen_Feedback_Stand.png/revision/latest?cb=20200522083458,Hero
Feedback (Dimension 23),Conductoid,"Teslavorr Nebula,(,Dimension 23,)",Humanoid,"Electrokinesis,Energy Absorption,Energy Redirection,Enhanced Strength,Enhanced Durability,Enhanced Dexterity,Enhanced Agility,Enhanced Jumping,Enhanced Reflexes,Enhanced Speed,(on Electrical Lines),Radiolocation,Quadrupedalism,Electrokinetic Levitation,Electrokinetic Flight,Space Survivability,Elastic Antennae Tentacles",No info,https://static.wikia.nocookie.net/ben10/images/9/93/Alien_24.png/revision/latest?cb=20210201141042,Hero
Four Arms (Classic),Tetramand,Khoros,Four-Armed Humanoid,"Enhanced Strength,Shock Wave Generation,(via Enhanced Strength),Sonic Clap,(via Enhanced Strength),Pillar Eruption,(via Enhanced Strength),Enhanced Durability,Enhanced Jumping,Enhanced Acrobatics,Enhanced Agility,Enhanced Reflexes,Cold Immunity,Fire/Heat Resistance,Radiation Resistance,Wall Scaling,Strong Bite Force,Strong Teeth,Slime Spit,(via Cold Virus)",Washington B.C.,https://static.wikia.nocookie.net/ben10/images/4/42/7FF55.png/revision/latest?cb=20210515171133,Hero
Fourmungousaur,"½,Tetramand,½,Vaxasaurian",No info,Four-Armed Dinosaur,"Enhanced Strength,Enhanced Jumping,Enhanced Durability,Shock Waves,Size Alteration",And Then There Were None,https://static.wikia.nocookie.net/ben10/images/0/0b/94731.png/revision/latest?cb=20200705144534,Hero
Frankenstrike,Transylian,Anur Transyl,Cyborg Humanoid,"Bio-Electrokinesis,Electricity Waves,Electricity-Enhanced Punches,Energy Beams,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Speed,Enhanced Agility,Enhanced Reflexes,Space Survivability,Corrodium,Immunity,Heat Resistance,Strong Wind Resistance,Night Vision,Electromagnetism,Technokinesis,Technology Merging,Technological Manipulation,(via Technology Merging)",Be Afraid of the Dark,https://static.wikia.nocookie.net/ben10/images/d/d7/OmniverseFrankenstrike.png/revision/latest?cb=20140404172804,Hero
Freeze Lizard,Polar Manzardill,"X'Nelli,(,Dimension 23,)",Iguana,"Freeze Rays,Ice Constructs,(via Freeze Rays),Freeze Ray Propulsion,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Cold Immunity,Wall Scaling,Bipedalism",Store 23,https://static.wikia.nocookie.net/ben10/images/d/d7/Freezelizard23.png/revision/latest?cb=20140414142808,Hero
Freeze-Ghost,Necrofriggian,"Kylmyys,(,Dimension 23,)",Humanoid Moth,"Cryokinesis,Freezing Breath,Wind Breath,Ice Constructs,Cryokinetic Touch,Intangibility,Cryo-Phasing,Flight,Levitation,Sharp Claws,Foldable Wings,Enhanced Strength,Enhanced Durability,Enhanced Speed,(via Flight),Enhanced Reflexes,Space Survivability,Underwater Breathing,Radiation Immunity,Cold Immunity,Heat Resistance,Hypnosis Resistance,Ice Beams,Ice Shard Spit,Ice Trail,Prehensile Feet,Strong Teeth,Mouth Expansion,Solid Matter Ingestion,Molten Steel Ingestion,Enhanced Stomach Capacity,Stomach Heat Insulation","It's a Mad, Mad, Mad Ben World: Part 2",https://static.wikia.nocookie.net/ben10/images/0/07/Freezeghost.png/revision/latest?cb=20210521190054,Hero
Fright Face,Unknown,"Unknown,(,Dimension 23,)",Ogre,"Nightmarish Face,Nightmarish Sounds,Fear Inducement,Gas Generation,Sharp Claws,Enhanced Strength,Enhanced Durability,(helmet only)",No info,https://static.wikia.nocookie.net/ben10/images/3/3c/NoImageAvailable.png/revision/latest?cb=20220716172111,Hero
Ghostfreak,Ectonurite,Anur Phaetos,Ghost,"Intangibility,Chill Inducement,(via Intangibility),Incapacitation,(via Intangibility),Electronic Disruption,(via Intangibility),Invisibility,Intangibility Infusion,Invisibility Infusion,Body Possession,Consciousness Erasure,(via Body Possession),Prehensile Tentacles,Sharp Tentacles,Telepathy,Telekinesis,Regeneration,Flight,Levitation,Sharp Claws,Removable Secondary Skin,Enhanced Strength,Enhanced Durability,Enhanced Speed,(via Flight),Enhanced Reflexes,Space Survivability,Mana Absorption Immunity,Prehensile Tail,Glowing Eye,Movable Eye,360° Vision,(via Movable Eye),Night Vision,Skin Storage,Density Shifting,Smoke-Like Form,(via Density Shifting),Ectonurite Conversion,Converted Ectonurite Manipulation,True Form:,Energy Beams,Enhanced Telekinesis,Darkness Empowerment,Skull Rotation",Permanent Retirement,https://static.wikia.nocookie.net/ben10/images/6/6d/Ghostfreak_ov_official.png/revision/latest?cb=20210515171015,Hero
Giant-Manster,To'kustar,No info,Giant Humanoid,"Cosmic Rays,Enhanced Strength,Shock Wave Generation,Enhanced Durability,Enhanced Jumping,Enhanced Acrobatics,Enhanced Speed,Water Vortex Generation,(via Enhanced Speed),Enhanced Reflexes,Space Survivability,Codon Stream Resistance,Size Alteration",No info,https://static.wikia.nocookie.net/ben10/images/9/95/Giant-Manster.png/revision/latest?cb=20210417205415,Hero
Goop (Classic),Polymorph,"Unknown,(native; destroyed),Viscosia",Various,"Gookinetic Shapeshifting,Density Shifting,Slime Ensnarement,Body Alteration,Size Alteration,Small Space Maneuvering,Body Separation,Regeneration,Elasticity,Acidic Body,Acidic Touch,Acidic Slime Projection,Flight,(via Anti-Gravity Projector),Levitation,(via Anti-Gravity Projector),Enhanced Strength,Enhanced Speed,(via Flight),Enhanced Reflexes,Underwater Survivability,Atomization Survivability,Heat Resistance,Wall Scaling,Slippery Body,Slime Cushion,Slime Tentacles,Slime Projectiles,Slime Spit,Movable Eyes,Object Mimicry",The Gauntlet,https://static.wikia.nocookie.net/ben10/images/e/e7/Goop_art.png/revision/latest?cb=20210515170849,Hero
Gravattack,Galilean,"Keplorr,'s Orbit",Planetary Humanoid,"Gravikinesis,Black Hole Generation,Quasar Generation,Force Field Generation,Levitation,Speed Reduction,Orbitakinesis,Self-Gravity Manipulation,Planetoid Form,Flight,Enhanced Strength,Enhanced Durability,Space Survivability",A Jolt from the Past,https://static.wikia.nocookie.net/ben10/images/e/ed/Gravattack_Pose.png/revision/latest?cb=20220802065601,Hero
Grey Matter (Classic),Galvan,Galvan Prime,Humanoid Frog,"Enhanced Intelligence,Technological Expertise,Small Space Maneuvering,Enhanced Jumping,Enhanced Reflexes,Underwater Breathing,Wall Scaling,Long Prehensile Tongue,Sharp Teeth,Linguistic Intelligence",Washington B.C.,https://static.wikia.nocookie.net/ben10/images/0/02/OmniverseGreyMatter.png/revision/latest?cb=20140722160610,Hero
Gutrot,Unknown,Unknown,Humanoid,"Chemokinesis,Benzinikinesis,Gas Absorption,Gas Immunity,Gas Neutralization,Chemical Reaction Creation,Chemical Repository,Nemuina,Sleep Dust Immunity,Enhanced Intelligence,Enhanced Jumping,Vast Chemistry Knowledge,Space Survivability",Animo Crackers,https://static.wikia.nocookie.net/ben10/images/e/eb/Gutrot_official.png/revision/latest?cb=20141129043754,Hero
